Participant 1,Participant 2,Rounds,Score,Winner
Annis,Alfa,ft20,20 - 9,Alfa
Annis,Alfa,ft20,20 - 8,Alfa
Sirzechs,Yoda,ft20,20 - 14,Yoda
Yoda,Sirzechs,ft20,20 - 14,Sirzechs
Annis,Tadex,ft20,20 - 8,Tadex
Paladino,Annis,ft20,20 - 18,Paladino
Paladino,Yoda,ft20,20 - 7,Paladino
Seised,Alfa,ft20,20 - 12,Seised
Seised,Alfa,ft20,20 - 17,Seised
Annis,kivi,ft20,20 - 18,kivi
Jenox,Annis (10th Duel),ft20,20 - 11,Jenox
Xanixxx,sirzechs,ft20,20 - 10,Xanixxx
A2,Asura,ft20,20 - 10,A2
aliya,sirzechs,ft20,20 - 18,aliya
tadex,alfa,ft20,20 - 16,tadex
ren,sirzechs,ft20,20 - 8,rena
Tadex vs Annis,bRuki,ft100 kills,100 (tadex) - 35 (annis) - 24 (bruki),Tadex
ren,sirzechs,ft20,20 - 6,rena
tadex,annis,ft20,20 - 7,tadex
Seised,Tadej,ft20,20 - 18,Seised
Seised,Suka,ft20,20 - 17,Seised
Miro,Paladino,ft20,20 - 18,Paladino
Annis,miro,ft20,20 - 16,Annis
Annis,Ren,ft20,20 - 16,Ren
Annis,pivo,ft20,20 - 18,Pivo
paladino,me,ft20,20 - 4,paladino
tadex,pivo,ft20,20 - 2,tadex
annis,suka,ft20,20 - 6,suka
annis,pivo,ft20,20 - 14,"annis ( I went beyond my limits, but she humiliated me anyway<:despair:1249017142976712815> )"
pivo,suka,ft20,20 - 13,suka
miro,pivo,ft20,20 - 18,miro
Paladino,Esdeath,ft20,20 - 19,Paladino
twins,airplane,ft11,9 - 11,airplane <:despair:1249017142976712815>
Alfa,Zender (stat changing debuff),ft11,20 - 9,Alfa
suka,miro,ft20,20 - 13,Suka
Annis,Paladino,ft20,20 - 14,Paladino
Annis,miro,ft20,20 - 11,Annis
Annis,pivo,ft20,20 - 12,Annis
Ravanello,pivo,ft20,20 - 15,Ravanello (asta)
tadex,Aliya,ft20,20 - 9,tadex
suka,Annis,ft20,20 - 19,Suka
tadex,Aliya,ft20,20 - 9,tadex
tadex,miro,ft20,20 - 7,tadex
Pivo,Aliya,ft20,20 - 15,Pivo
Paladino,Annis,ft20,20 - 9,Paladino
Aliya,Miro,ft20,20 - 12,Aliya
zender,suka,ft20,20 - 10,suka
Annis,Sirzechs,ft20,20 - 7,Annis
Paladino,Seised,ft20,20 - 16,Seised
ren,Aliya,ft20,20 - 9,ren
zender,suka,ft20,20 - 9,suka
Aliya,Pivo,ft20,20 - 10,Aliya
Paladino,Aliya,ft20,20 - 16,Paladino
pivo,annis,ft20,20-16,Pivo
tadex,suka,ft20,20 - 18,tadex
overblade,fabiasheen,ft20,12 - 20,ovr
ren,fabiasheen,ft20,5 - 20,svo ren
Annis,suka,ft20,20 - 12,Annis
Paladino,Sky,ft20,20-15,Paladino
tadex,plep,ft20,20 - 15,tadex
fabiasheen,suka,ft20,11 - 20,suka
tadex,alfa,ft20,18 - 20,alfa
Annis,suka,ft20,20 - 5,suka
paladino,ovrbls,ft20,20 - 15,paladino
meeeli,Domene,ft20,16 - 20,Domene
Xolo,Aliya,ft20,20 - 18,Xolo
Xolo,Seised,ft20,20 - 8,Seised
Paladino,Hespera,ft20,20-16,Hespera
zender,Yui,ft20,20 - 3,Yui
tadex,Annis,ft20,20 - 14,tadex
Jenox,Annis,ft20,20 - 11,Jenox
Xanixxx,Annis,ft20,20 - 17,Xanixxx
Rian,Annis,ft20,20 - 10,Rian
Rian,Xanixxx,ft20,20 -16,Rian
Rian,Annis,ft20,20 - 18,Rian
Seised,Xolo,ft20,20 - 3,Seised
Seised,Annis,ft20,20 - 8,Seised
tadex,plep,ft20,20 - 11,tadex
zender,Yui,ft20,20 - 4,zender
Seised,Zender,ft20,20 - 3,Seised
Annis,pivo,ft20,20 - 17,Annis
Seised,Tadej,ft20,20 - 16,Sisid
Adrian,Paladino,ft20,13 - 20,Adrian
Adrian,Paladino,ft20,3 - 20,Adrian
Adrian,Annis,ft20,17 - 20,Adrian
Ren,Annis,ft20,10 - 20,Annis
Rian,Xanixxx,ft20,18 - 20,Xanixxx
Adrian,Annis,ft20,1 - 20,Adrian
Seised,suka,ft20,20 - 13,suka
suka,annis,ft20,20 - 7,suka
Seised,Xolo,ft20,20 - 9,Seised
Seised,Xolo,ft20,20 - 2,Seised
Paladino,zender,ft20,10 - 20,zender
Annis,zender,ft20,17 - 20,zender
Adrian,zender,ft20,13 - 20,Adrian
pivo,Annis,ft20,11 - 20,Annis
Adrian,zender,ft20,18 - 20,zender
Annis,suka,ft20,19 - 20,suka
Annis,suka,ft20,12 - 20,suka
Annis,zender,ft20,13 - 20,zender
Alfa,Adrian,ft20,20 - 16,Adrian
zender,Suka,ft20,20 - 17,Suka
miro,suka,ft20,15 - 20,suka
miro,suka,ft20,20 - 17,miro
